City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Month,Temperature,Humidity,Wind_Speed
Patna,2019-08-25,0.16678518326976535,0.4757085836390759,0.570877531340405,0.7411299215152105,0.3916252851966179,0.2508059456067851,0.4171122994652407,1.0,0.6035208345681942,0.16654702081837758,0.4509906542056075,1.0,0.20752269779507135,Satisfactory,8,0.4122137404580153,0.8975000000000004,0.6460674157303371
Patna,2019-08-26,0.2730622535393368,0.4757085836390759,0.866682738669238,1.0,0.5752248020399946,0.2508059456067851,0.6238859180035652,1.0,0.5836050026672992,0.2067480258435032,0.5347289719626168,1.0,0.2619974059662776,Moderate,8,0.43256997455470747,0.9824999999999999,0.5730337078651685
Patna,2019-08-27,0.22535393367379922,0.4757085836390759,0.6031822565091609,0.8464681844716871,0.4306804455777748,0.2508059456067851,0.4919786096256685,1.0,0.5261098927153105,0.18090452261306533,0.4892710280373832,1.0,0.24643320363164722,Moderate,8,0.3816793893129772,0.895,0.5112359550561797
Patna,2019-08-28,0.3036395371387937,0.4757085836390759,0.2832690453230472,0.5698903807485244,0.24869145081197155,0.2508059456067851,0.46345811051693414,1.0,0.5924959990516273,0.17946877243359655,0.4533831775700935,1.0,0.20492866407263294,Satisfactory,8,0.3638676844783715,0.8100000000000003,0.6741573033707865
Patna,2019-08-29,0.3035748917189217,0.4757085836390759,0.4252651880424301,0.32159304663682947,0.2301704469198765,0.2508059456067851,0.6737967914438503,1.0,0.7985300219311248,0.2139267767408471,0.5335327102803739,1.0,0.24383916990920884,Moderate,8,0.3791348600508906,0.94,0.7247191011235955
Patna,2019-08-30,0.3221927726420583,0.4757085836390759,0.289778206364513,0.26308620354154505,0.16856797745269092,0.2508059456067851,0.7023172905525847,1.0,1.0000000000000002,0.21823402727925342,0.5454953271028037,1.0,0.26459143968871596,Moderate,8,0.47073791348600513,0.9824999999999999,0.6629213483146068
Patna,2019-08-31,0.34016419936647485,0.4757085836390759,0.1533269045323047,0.21794123370305507,0.11045497248691451,0.2508059456067851,0.4456327985739751,1.0,1.0000000000000002,0.1780330222541278,0.4426168224299066,1.0,0.3398184176394293,Moderate,8,0.4936386768447838,0.8025,0.6685393258426966
Patna,2019-09-01,0.343590406619691,0.4757085836390759,0.11837029893924782,0.11688395926574562,0.07153402227888873,0.2508059456067851,0.32442067736185387,1.0,1.0000000000000002,0.15506101938262742,0.3588785046728972,1.0,0.4850843060959792,Moderate,9,0.4758269720101782,0.8,0.8202247191011236
Patna,2019-09-02,0.2983386127092895,0.4757085836390759,1.0,1.0,0.8990739498053951,0.2508059456067851,0.93048128342246,1.0,0.9814474542113689,0.2541277817659727,0.707588785046729,1.0,0.191958495460441,Satisfactory,9,0.35368956743002544,0.6925000000000001,0.5280898876404494
Patna,2019-09-03,0.2653694485745685,0.4757085836390759,0.7369816779170684,1.0,0.5426117299691317,0.2508059456067851,0.520499108734403,1.0,1.0000000000000002,0.19239052404881551,0.4898691588785047,1.0,0.3683527885862516,Moderate,9,0.4732824427480916,0.8875000000000002,0.6404494382022472
Patna,2019-09-04,0.23815372680845565,0.4757085836390759,0.799662487945998,0.9767140169942271,0.5320091262917729,0.2508059456067851,0.4456327985739751,1.0,1.0000000000000002,0.17372577171572146,0.46953271028037386,1.0,0.3164721141374838,Moderate,9,0.39949109414758277,0.8425000000000002,0.7022471910112359
Patna,2019-09-05,0.23789514512896764,0.4757085836390759,0.9566055930568947,0.9921515210481935,0.6068984028989397,0.2508059456067851,0.41354723707664887,1.0,0.6248592258905817,0.18090452261306533,0.4808971962616822,1.0,0.23346303501945526,Moderate,9,0.5216284987277354,0.7525,0.5449438202247191
Patna,2019-09-06,0.2400284439847437,0.4757085836390759,0.6957569913211185,0.963481870662256,0.49335659643000934,0.2508059456067851,0.4491978609625669,1.0,0.7592910912216232,0.16798277099784636,0.44740186915887853,1.0,0.324254215304799,Moderate,9,0.39949109414758277,0.8675000000000002,0.5617977528089888
Patna,2019-09-07,0.2344042924558795,0.4757085836390759,0.5653326904532304,0.8231173380035026,0.4118910213394175,0.2508059456067851,0.3814616755793227,1.0,0.7997154881157018,0.1564967695620962,0.40792523364485983,1.0,0.430609597924773,Moderate,9,0.3104325699745547,0.8525,0.7191011235955056
Patna,2019-09-08,0.21442885771543088,0.4757085836390759,0.44141755062680804,0.688331063112149,0.33378070057710374,0.2508059456067851,0.2959001782531195,1.0,0.959516329796693,0.1306532663316583,0.35170093457943924,1.0,0.38132295719844356,Moderate,9,0.48091603053435117,0.6025,0.7640449438202247
Patna,2019-09-09,0.3271058245523305,0.4757085836390759,0.6685149469623914,0.8546409807355517,0.4551066970876392,0.2508059456067851,0.47058823529411775,1.0,1.0000000000000002,0.16941852117731512,0.4157009345794393,1.0,0.4357976653696498,Moderate,9,0.3587786259541985,0.7350000000000003,0.9325842696629214
Patna,2019-09-10,0.3287219600491305,0.4757085836390759,0.4648023143683702,0.9510280858792242,0.41215944168567975,0.2508059456067851,0.47058823529411775,1.0,0.38290557761839855,0.2871500358937545,0.6011214953271029,1.0,0.2204928664072633,Satisfactory,9,0.5623409669211197,0.6875,0.5449438202247191
Patna,2019-09-11,0.3484388131100911,0.4757085836390759,1.0,1.0,0.6242115152328546,0.2508059456067851,0.5953654188948307,1.0,0.38290557761839855,1.0,1.0,1.0,0.2490272373540856,Moderate,9,0.33587786259541985,0.8600000000000003,0.45505617977528084
Patna,2019-09-12,0.20408559053591052,0.4757085836390759,0.5612343297974927,0.8010637607835506,0.4042410414709435,0.2508059456067851,0.36007130124777187,1.0,0.38290557761839855,1.0,1.0,1.0,0.2204928664072633,Satisfactory,9,0.4783715012722646,0.6325000000000001,0.6460674157303371
Patna,2019-09-13,0.2307841489430474,0.4757085836390759,0.7835101253616199,0.7974314068884997,0.47832505703932354,0.2508059456067851,0.2852049910873441,1.0,0.38290557761839855,1.0,1.0,1.0,0.15304798962386512,Satisfactory,9,0.4885496183206107,0.9525000000000001,0.6910112359550562
Patna,2019-09-14,0.2744198073566488,0.4757085836390759,0.6747830279652843,0.9921515210481935,0.4938934371225338,0.2508059456067851,0.6737967914438503,1.0,0.38290557761839855,1.0,1.0,1.0,0.14267185473411154,Satisfactory,9,0.4732824427480916,0.9950000000000001,0.7528089887640449
Patna,2019-09-15,0.3362208287542828,0.4757085836390759,0.5366441658630664,0.9427255626905365,0.4340356999060529,0.2508059456067851,0.4456327985739751,1.0,0.38290557761839855,1.0,1.0,1.0,0.21011673151750973,Satisfactory,9,0.41730279898218836,0.8200000000000001,0.7247191011235955
Patna,2019-09-16,0.3414571077639149,0.4757085836390759,0.6653809064609449,0.9795680093403386,0.48745134881223995,0.2508059456067851,0.5240641711229947,1.0,0.38290557761839855,1.0,1.0,1.0,0.2490272373540856,Moderate,9,0.4758269720101782,0.7850000000000001,0.6404494382022472
Patna,2019-09-17,0.28269442110026505,0.4757085836390759,0.6051108968177433,0.739832652266978,0.44477251375654275,0.2508059456067851,0.48128342245989314,1.0,0.38290557761839855,1.0,1.0,1.0,0.23865110246433202,Moderate,9,0.48600508905852413,0.7975000000000003,0.5224719101123596
Patna,2019-09-18,0.18133040274096582,0.4757085836390759,0.9006750241080037,0.9099046507102551,0.5483827674137699,0.2508059456067851,0.93048128342246,1.0,0.38290557761839855,1.0,1.0,1.0,0.23086900129701687,Moderate,9,0.3460559796437659,0.8999999999999999,0.7247191011235955
Patna,2019-09-19,0.2592927791066003,0.4757085836390759,0.9274349083895852,0.9851462671077382,0.5775063749832238,0.2508059456067851,0.7272727272727274,1.0,0.38290557761839855,1.0,1.0,1.0,0.2619974059662776,Moderate,9,0.47073791348600513,0.9925000000000002,0.6348314606741573
Patna,2019-09-20,0.3020880470618657,0.4757085836390759,0.7914657666345225,0.9737302977232924,0.6742719098107637,0.2508059456067851,0.5454545454545455,1.0,0.38290557761839855,1.0,1.0,1.0,0.2282749675745785,Moderate,9,0.4936386768447838,0.6625000000000001,0.550561797752809
Patna,2019-09-21,0.3055142543150818,0.4757085836390759,0.938765670202507,1.0,0.6197825795195275,0.2508059456067851,0.591800356506239,1.0,0.38290557761839855,1.0,1.0,1.0,0.2490272373540856,Moderate,9,0.5750636132315523,0.895,0.5280898876404494
Patna,2019-09-22,0.23550326459370355,0.4757085836390759,0.6014946962391513,0.8501005383667382,0.4312172862702993,0.2508059456067851,0.4242424242424243,1.0,0.38290557761839855,1.0,1.0,1.0,0.2127107652399481,Satisfactory,9,0.5089058524173029,0.6625000000000001,0.550561797752809
Patna,2019-09-23,0.3249078802766824,0.4757085836390759,0.6706846673095467,1.0,0.5204670514024963,0.2508059456067851,0.5632798573975045,1.0,0.38290557761839855,1.0,1.0,1.0,0.2178988326848249,Satisfactory,9,0.38422391857506366,0.9199999999999999,0.6516853932584269
Patna,2019-09-24,0.3053849634753378,0.4757085836390759,0.5725650916104146,0.8573652461568398,0.4235673064018252,0.2508059456067851,0.41354723707664887,1.0,0.38290557761839855,1.0,1.0,1.0,0.2178988326848249,Satisfactory,9,0.4758269720101782,0.9600000000000004,0.6966292134831461
Patna,2019-09-25,0.17725774128902969,0.4757085836390759,0.5296528447444551,0.513459168450412,0.3167360085894511,0.2508059456067851,0.28163992869875226,1.0,0.38290557761839855,0.0,0.0,0.0,0.15304798962386512,Satisfactory,9,0.5394402035623409,0.8274999999999999,0.7359550561797752
Patna,2019-09-26,0.187213135949318,0.4757085836390759,0.39826422372227577,0.4134397094116884,0.2456046168299557,0.2508059456067851,0.27450980392156865,1.0,0.38290557761839855,0.0,0.0,0.0,0.13488975356679636,Satisfactory,9,0.4096692111959288,0.9550000000000001,0.550561797752809
Patna,2019-09-27,0.18288189281789385,0.4757085836390759,0.323288331726133,0.31770123889213203,0.19460475104012884,0.2508059456067851,0.31729055258467026,1.0,0.38290557761839855,0.0,0.0,0.0,0.14785992217898833,Satisfactory,9,0.5190839694656489,0.935,0.7471910112359551
Patna,2019-09-28,0.13278169241709226,0.4757085836390759,0.17864030858244936,0.1970551988065123,0.11193128439135686,0.2508059456067851,0.19251336898395727,1.0,0.38290557761839855,0.0,0.0,0.0,0.14526588845654995,Satisfactory,9,0.48091603053435117,0.8075000000000001,0.6460674157303371
Patna,2019-09-29,0.1338160191350443,0.4757085836390759,0.13162970106075214,0.1730557177142116,0.09099449738290162,0.2508059456067851,0.16755793226381463,1.0,0.38290557761839855,0.0,0.0,0.0,0.12191958495460442,Satisfactory,9,0.3969465648854962,0.6850000000000003,0.7696629213483146
Patna,2019-09-30,0.17842135884672572,0.4757085836390759,0.17839922854387652,0.19446066031004736,0.11260233525701248,0.2508059456067851,0.3137254901960785,1.0,0.38290557761839855,0.0,0.0,0.0,0.14785992217898833,Satisfactory,9,0.4936386768447838,0.6425000000000001,0.6685393258426966
Patna,2019-10-01,0.20014221992371842,0.4757085836390759,0.8112343297974927,0.5976519426606992,0.48275399275265063,0.2508059456067851,0.4420677361853833,1.0,0.38290557761839855,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.191958495460441,Satisfactory,10,0.41730279898218836,0.33750000000000013,0.19101123595505617
Patna,2019-10-02,0.29536492339517745,0.4757085836390759,0.45081967213114754,0.8194849841084517,0.372164810092605,0.2508059456067851,0.3707664884135473,1.0,0.38290557761839855,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.1867704280155642,Satisfactory,10,0.4223918575063613,0.45500000000000007,0.028089887640449437
Patna,2019-10-03,0.32684724287284245,0.4757085836390759,0.39175506268081,0.6632937666212623,0.31042813045228823,0.2508059456067851,0.4171122994652407,1.0,0.38290557761839855,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.21011673151750973,Satisfactory,10,0.4300254452926209,0.5300000000000002,0.42696629213483145
Patna,2019-10-04,0.3036395371387937,0.4757085836390759,0.7726615236258436,0.8101446455211779,0.5235538853845121,0.2508059456067851,0.5347593582887702,1.0,0.38290557761839855,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.23865110246433202,Moderate,10,0.4580152671755726,0.5899999999999999,0.32584269662921345
Patna,2019-10-05,0.42200530092442945,0.4757085836390759,0.6837029893924782,1.0,0.5257012481546102,0.2508059456067851,0.6417112299465242,1.0,0.38290557761839855,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.2619974059662776,Moderate,10,0.361323155216285,0.44500000000000006,0.29213483146067415
Patna,2019-10-06,0.4304092055077898,0.4757085836390759,0.3223240115718418,0.6482454433417656,0.2827808347872769,0.2508059456067851,0.4955436720142603,1.0,0.38290557761839855,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.27496757457846954,Moderate,10,0.4071246819338423,0.565,0.24719101123595508
Patna,2019-10-10,0.3408752989850669,0.4757085836390759,0.3413693346190935,0.5845495232535513,0.42974097436585695,0.2508059456067851,0.5347593582887702,1.0,0.38290557761839855,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.23346303501945526,Moderate,10,0.5216284987277354,0.6025,0.37640449438202245
Patna,2019-10-11,0.38619173831534037,0.4757085836390759,0.35149469623915136,0.7812155412855938,0.32841229365185876,0.2508059456067851,0.5311942959001783,1.0,0.49339102602098295,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.24383916990920884,Moderate,10,0.4732824427480916,0.3175000000000001,0.1797752808988764
Patna,2019-10-12,0.40707220893399704,0.4757085836390759,0.26518804243008676,0.6510994356878771,0.26425983089518185,0.2508059456067851,0.609625668449198,1.0,0.540928220022524,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.24383916990920884,Moderate,10,0.4300254452926209,0.5449999999999999,0.2808988764044944
Patna,2019-10-13,0.4864567845368156,0.4757085836390759,0.15597878495660558,0.3597327625348641,0.1495101328680714,0.2508059456067851,0.3885918003565063,1.0,0.3343014640507381,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.2775616083009079,Moderate,10,0.5267175572519085,0.38250000000000006,0.19662921348314605
Patna,2019-10-15,0.5775421811364665,0.4757085836390759,0.6436837029893924,0.40007783615489395,0.3247886189773185,0.2508059456067851,1.0,1.0,0.426649279829293,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.44617380025940334,Moderate,10,0.4783715012722646,0.5600000000000003,0.42134831460674155
Patna,2019-10-16,0.6973947895791583,0.4757085836390759,0.63404050144648,0.3186093273658948,0.2996913166017984,0.2508059456067851,1.0,1.0,0.3789935392092942,0.1392677674084709,0.2404485981308411,0.5416666666666679,0.549935149156939,Poor,10,0.5368956743002545,0.22250000000000014,0.3595505617977528
Patna,2019-10-17,0.8449156377270671,0.4757085836390759,0.38500482160077143,0.3156256080949601,0.21487048718292848,0.2508059456067851,1.0,1.0,0.462450358603521,1.0,1.0,1.0,0.74189364461738,Poor,10,0.6412213740458015,0.37750000000000017,0.29775280898876405
Patna,2019-10-18,0.937100006464542,0.4757085836390759,1.0,0.4773950833495492,0.5859616158904845,0.2508059456067851,0.9518716577540108,1.0,0.4920870132179481,1.0,1.0,1.0,0.7782101167315175,Very Poor,10,0.40203562340966925,0.14000000000000012,0.3314606741573034
Patna,2019-10-19,0.8155019716853061,0.4757085836390759,0.29098360655737704,0.6089381851203217,0.26144141725942827,0.2508059456067851,0.34224598930481287,1.0,0.8371762195483377,1.0,1.0,1.0,0.7808041504539559,Very Poor,10,0.6055979643765903,0.3800000000000001,0.19662921348314605
Patna,2019-10-20,0.48632749369707157,0.4757085836390759,0.17888138862102215,0.2733346306025815,0.13380754261172997,0.2508059456067851,0.4456327985739751,1.0,0.6828285223164012,1.0,1.0,1.0,0.49546044098573283,Poor,10,0.5089058524173029,0.28500000000000014,0.2191011235955056
Patna,2019-10-21,0.936194970586334,0.4757085836390759,0.12270973963355833,0.18810404099370825,0.08951818547845926,0.2508059456067851,0.4242424242424243,1.0,0.7678264477505782,1.0,1.0,1.0,0.5810635538261997,Poor,10,0.35114503816793896,0.1975,0.0898876404494382
