PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Month,Temperature,Humidity,Wind_Speed,AQI
0.1439007046350766,0.2748861024876023,0.1841851494696239,0.1391969903353441,0.1328680713998121,0.3055020662498107,0.7094474153297684,0.3219213081246806,0.0490783000414913,0.0674802584350323,0.2015700934579439,0.5416666666666679,9,0.4173027989821883,0.9225000000000004,0.6797752808988764,0.2308690012970168
0.2095804512250307,0.3808208684433334,0.2420443587270973,0.0808198741648829,0.2179573211649442,0.2483826997555118,0.2281639928698752,0.28240504173054,0.2389899828107404,0.113424264178033,0.2676635514018691,0.0,7,0.4478371501272264,0.9925000000000002,0.5617977528089888,0.2697795071335927
0.3927209257224126,0.9558521146635488,0.243731918997107,0.1611208406304728,0.3192860018789424,0.1215084705424176,0.124777183600713,1.0,0.1971430264951693,0.1751615218951902,0.2015700934579439,0.5416666666666679,1,0.2646310432569975,0.3150000000000001,0.2584269662921348,0.5084306095979247
0.373973753959532,0.4130548723944684,0.2577145612343298,0.4336771096841149,0.4557777479532948,0.2862891884290011,0.3315508021390375,0.1781638562425481,0.6400331930531684,0.1177315147164393,0.129196261682243,0.5416666666666679,12,0.1959287531806616,0.3225,0.1516853932584269,0.2334630350194552
0.2219923718404551,0.6840704753457242,0.6104146576663452,0.0962573782188493,0.4399409475238223,0.1310283649581341,0.2566844919786096,0.9443025038323966,0.0913994428308932,0.0,0.0,0.5416666666666679,3,0.8575063613231552,0.3875000000000002,0.4044943820224719,0.2853437094682231
0.3296269959273386,0.402491634076523,0.0643683702989392,0.187455406369592,0.2303046570930076,0.0773707782513685,1.0,0.4230965763924374,0.2967221859996444,0.0,0.2015700934579439,0.5416666666666679,5,0.7760814249363869,0.5350000000000001,0.348314606741573,0.2594033722438392
0.2148167302346629,0.2631133330645487,0.1330761812921889,0.2795615229940974,0.1858810897866058,0.134663233735044,0.2210338680926916,0.0838017373530914,0.1856440045047715,0.0875807609475951,0.2392523364485981,0.0,9,0.4910941475826972,0.6800000000000002,0.7359550561797752,0.1297016861219196
0.499709095610576,0.6798774341813489,0.0887174541947926,0.6312512161899202,0.5894510803918938,0.8844847357147495,0.3707664884135473,0.6458865610628512,0.937111018908186,0.4364680545585068,0.3774205607476635,0.0,5,0.8193384223918575,0.2925000000000002,0.4662921348314607,0.549935149156939
0.4573663455944147,0.7079385558198604,0.1121022179363548,0.2844911461373808,0.1658837739900684,0.4244142019515784,0.3244206773618538,0.5167773803440641,0.4950506786793908,0.1751615218951902,0.2075514018691589,1.0,4,0.6361323155216285,0.4824999999999999,0.5393258426966292,0.3398184176394293
0.4026763203827009,0.3173406442769019,0.0183220829315332,0.0335992735292209,0.0161052207757348,0.0455224042060624,0.2103386809269162,0.2537898143416794,0.3505423507794441,0.0847092605886575,0.0083738317757009,0.5416666666666679,1,0.2086513994910941,0.4225000000000001,0.3089887640449438,0.2542153047989623
0.1342038916542763,0.2140870056041607,0.4257473481195757,0.2104170720633067,0.3327070191920547,0.3826997555118026,0.3208556149732621,0.2813830693237949,0.1717740501452196,0.0631730078966259,0.2242990654205607,0.5416666666666679,7,0.3867684478371501,0.6725000000000003,0.4550561797752808,0.1686121919584954
0.3901997543474045,0.5206225053420956,0.1101735776277724,0.4776545371991956,0.3143202254730908,0.3269651009325169,0.3065953654188948,0.513370805654914,0.7918914112974931,0.1751615218951902,0.2015700934579439,0.5416666666666679,2,0.193384223918575,0.2724999999999999,0.297752808988764,0.2619974059662776
0.4720408559053591,1.0,0.3654773384763741,0.5161834338717001,0.4616829955710642,0.4870724161059305,0.3743315508021391,0.7439959121103731,0.61822061525695,0.4192390524048815,1.0,0.0,4,0.6437659033078881,0.3175000000000001,0.5280898876404494,0.609597924773022
0.3150817764561381,0.2348506229085191,0.1352459016393442,0.2988908347927612,0.2203731042813045,0.2961552608234709,0.2388591800356506,0.1475046840401975,0.5668899294647622,1.0,0.3301682242990654,0.5416666666666679,4,0.743002544529262,0.4125000000000001,0.5224719101123596,0.1945525291828793
0.4405585364276941,0.7047131395395717,0.5385728061716489,0.4488551598884348,0.5803247886189773,0.4197407992384085,0.4563279857397505,0.5624254811786749,0.5545610811451606,0.2254127781765972,0.4767102803738318,0.5416666666666679,1,0.1577608142493639,0.2075,0.2921348314606741,0.3060959792477302
0.4759842265175512,0.608111921944926,0.4057377049180327,0.1739638061879743,0.3429069923500201,0.5779441355286787,0.0,0.4397887923692727,0.6742931657874461,0.2684852835606605,0.1034766355140187,0.5416666666666679,1,0.1501272264631043,0.2400000000000002,0.3707865168539325,0.2879377431906614
0.2888357359881052,0.395798895294924,0.4042912246865959,0.349743789323474,0.5874379277949269,0.118219779744261,0.0,0.2200647249190938,0.0537016181613419,1.0,0.1471401869158878,0.0,1,0.099236641221374,0.3325,0.1741573033707865,0.2827496757457847
0.1122244488977955,0.1535298149417409,0.0817261330761812,0.0880845819549847,0.1379680579787947,0.1312014539475108,0.1283422459893048,0.1509112587293476,0.3136743524390967,0.1909547738693467,0.5377196261682243,0.0,5,0.6895674300254454,0.3349999999999999,0.6741573033707865,0.0881971465629053
0.4221345917641735,0.403620529774624,0.2316779170684667,0.5386261918661218,0.3999463159307475,0.2572102382137216,0.4242424242424243,0.2217680122636688,0.440874874044218,1.0,1.0,0.5416666666666679,3,0.7201017811704834,0.4425000000000001,0.4213483146067415,0.3190661478599221
0.1288383218049001,0.3808208684433334,0.1656219864995178,0.1835635986248946,0.2825124144410146,0.2483826997555118,0.3992869875222817,0.2016692215976835,0.1615790409578567,0.0229720028715003,0.0747663551401869,0.0,7,0.4096692111959288,0.7800000000000002,0.5617977528089888,0.2775616083009079
0.3976986230525567,0.3788654598234084,0.244937319189971,0.1395861711098138,0.2651993021070997,0.2128994569332958,0.2281639928698752,0.3801737353091466,0.3830241242368563,0.3029432878679109,0.126803738317757,1.0,1,0.1526717557251908,0.2175000000000002,0.2359550561797752,0.1997405966277561
0.5286702437132329,0.6128290932548481,1.0,1.0,1.0,0.4439732577511413,0.3137254901960785,0.4115142224493272,0.5092762728943159,1.0,0.8900186915887851,1.0,3,0.8575063613231552,0.2425000000000001,0.5449438202247191,0.4643320363164721
0.1278039950869481,0.2615812603314115,0.0202507232401157,0.1275215671012518,0.0782445309354449,0.4536662411562344,0.160427807486631,0.4213932890478624,0.2323513721771087,0.3977027997128499,0.0239252336448598,0.0,5,0.7506361323155216,0.3375000000000001,0.398876404494382,0.1322957198443579
1.0,1.0,1.0,1.0,1.0,0.891408295289816,0.7094474153297684,0.6741611309827968,0.3363167565645191,1.0,1.0,1.0,1,0.1857506361323155,0.2475,0.1741573033707865,1.0
